ward,item,location,cost,year,category
26,Alley Speed Hump Replacement,1110 N MOZART ST; N MOZART ST &  W DIVISION ST&W THOMAS ST &  N FRANCISCO AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1218 N HAMLIN AVE; N HAMLIN AVE &  W DIVISION ST&W GRAND AVE &  N AVERS AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1400 N KARLOV AVE; N KARLOV AVE &  W HIRSCH ST&W GRAND AVE &  N KEDVALE AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1401 N RIDGEWAY AVE; N RIDGEWAY AVE &  W HIRSCH ST&W LE MOYNE ST &  N LAWNDALE AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1501 N KEYSTONE AVE; N KEYSTONE AVE &  W LE MOYNE ST&W NORTH AVE &  N PULASKI RD,0,2022,Alleys
26,Alley Speed Hump Replacement,1508 N KOLIN AVE; N KOLIN AVE &  W LE MOYNE ST&W GRAND AVE &  N KOSTNER AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1700 N KEYSTONE AVE; W WABANSIA AVE &  N KARLOV AVE; W WABANSIA AVE &  N KEYSTONE AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1701 N TROY ST; N TROY ST &  W WABANSIA AVE&W BLOOMINGDALE AVE &  N ALBANY AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,1701 N WHIPPLE ST; N WHIPPLE ST &  W BLOOMINGDALE AVE&W WABANSIA AVE &  N HUMBOLDT BLVD,0,2022,Alleys
26,Alley Speed Hump Replacement,1804 N HARDING AVE; N PULASKI RD &  W CORTLAND ST; N HARDING AVE &  W CORTLAND ST,0,2022,Alleys
26,Alley Speed Hump Replacement,N CENTRAL PARK AVE &  W HIRSCH ST&W LE MOYNE ST &  N MONTICELLO AVE; 1400 N CENTRAL PARK AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,W ARMITAGE AVE &  N DRAKE AVE&N CENTRAL PARK AVE &  W CORTLAND ST,0,2022,Alleys
26,Alley Speed Hump Replacement,W DICKENS AVE &  N LAWNDALE AVE&N CENTRAL PARK AVE &  W MCLEAN AVE; 3615 W DICKENS AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,W EVERGREEN AVE &  N ST LOUIS AVE&N HOMAN AVE &  W POTOMAC AVE,0,2022,Alleys
26,Alley Speed Hump Replacement,W LE MOYNE ST &  N CENTRAL PARK AVE&N ST LOUIS AVE &  W BEACH AVE; 3501 W LE MOYNE ST,0,2022,Alleys
26,Alley Speed Hump Replacement,W NORTH AVE &  N AVERS AVE&N HAMLIN AVE &  W WABANSIA AVE; 3800 W NORTH AVE,0,2022,Alleys
26,Concrete Alley Menu,ON W WABANSIA AVE FROM N LAWNDALE AVE  (3700 W) TO N MONTICELLO AVE  (3630 W),24340.5,2022,Alleys
