ward,item,location,cost,year,category
44,Alley Resurfacing Menu,W BYRON ST & N LAKEWOOD AVE&N WAYNE AVE & W GRACE ST; 1311 W BYRON ST,26110.92,2024,Alleys
44,Alley Resurfacing Menu,W SURF ST & N PINE GROVE AVE&N CAMBRIDGE AVE & W DIVERSEY PKWY,34268.65,2024,Alleys
44,Alley Resurfacing Menu,W WAVELAND AVE & N LAKEWOOD AVE&N WAYNE AVE & W GRACE ST; 1314 W WAVELAND AVE,37482.31,2024,Alleys
44,Alley Resurfacing Menu,W WAVELAND AVE & N WAYNE AVE&N LAKEWOOD AVE & W ADDISON ST,46983.04,2024,Alleys
44,Alley Speed Hump Menu,3501 N SHEFFIELD AVE; W ADDISON ST & N SHEFFIELD AVE&N WILTON AVE & W CORNELIA AVE,2175.0,2024,Alleys
44,Alley Speed Hump Menu,N CLARK ST & W NEWPORT AVE&W CORNELIA AVE & N SEMINARY AVE,2900.0,2024,Alleys
44,Chicago Park District,500 N LAKE SHORE DR,100000.0,2024,Parks
44,Concrete Alley Menu,W ROSCOE ST & N RACINE AVE&N LAKEWOOD AVE & W HENDERSON ST; 1243 W ROSCOE ST,50359.91,2024,Alleys
44,Miscellaneous CDOT Projects,N ORCHARD ST & W BELMONT AVE,70000.0,2024,Misc. CDOT
44,Street Light Arterial Menu,ON W BELMONT AVE FROM N CLARK ST (840 W) TO N SHEFFIELD AVE (999 W),250000.0,2024,Lighting
44,Street Resurfacing Menu,ON N JANSSEN AVE FROM W ROSCOE ST (3400 N) TO W ADDISON ST (3600 N),67358.24,2024,Street Resurfacing
44,Street Resurfacing Menu,ON N WAYNE AVE FROM W GRACE ST (3800 N) TO W BYRON ST (3900 N),49998.41,2024,Street Resurfacing
44,Street Resurfacing Menu,ON W EDDY ST FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE (1300 W),60713.81,2024,Street Resurfacing
44,Street Resurfacing Menu,ON W GRACE ST FROM 1157 W TO N CLIFTON AVE (1120 W),55323.08,2024,Street Resurfacing
44,Street Resurfacing Menu,ON W OAKDALE AVE FROM N HALSTED ST (800 W) TO N MILDRED AVE (900 W),29095.21,2024,Street Resurfacing
44,Street Resurfacing Menu,ON W OAKDALE AVE FROM N MILDRED AVE (900 W) TO N SHEFFIELD AVE (999 W),52817.74,2024,Street Resurfacing
44,Street Resurfacing Menu,ON W OAKDALE AVE FROM N SHEFFIELD AVE (999 W) TO N SEMINARY AVE (1100 W),48347.91,2024,Street Resurfacing
44,Street Resurfacing Menu,ON W WAVELAND AVE FROM N HALSTED ST (800 W) TO N FREMONT ST (900 W),23458.24,2024,Street Resurfacing
44,Street Speed Hump Replacement,ON N WAYNE AVE FROM W GRACE ST (3800 N) TO W BYRON ST (3900 N),0.0,2024,Street Resurfacing
