ward,year,item,location,cost,category
46,2025,Sidewalk Menu,1403-1409 W SUNNYSIDE AVE; ON W SUNNYSIDE AVE FROM N CLARK ST  (1440 W) TO N DOVER ST  (1400 W),38144.4,Sidewalk Repair
46,2025,Sidewalk Menu,3601-3603 N BROADWAY,22510.55,Sidewalk Repair
46,2025,Sidewalk Menu,3753 N PINE GROVE AVE; 3727 N PINE GROVE AVE,26970.68,Sidewalk Repair
46,2025,Sidewalk Menu,3835-3859 N FREMONT ST,5265.63,Sidewalk Repair
46,2025,Sidewalk Menu,3932 N CLARENDON AVE,34925.67,Sidewalk Repair
46,2025,Sidewalk Menu,3934 N PINE GROVE AVE; 3927 N PINE GROVE AVE,16752.49,Sidewalk Repair
46,2025,Sidewalk Menu,3949 N BROADWAY,15686.66,Sidewalk Repair
46,2025,Sidewalk Menu,4018 N KENMORE AVE; 4036 N KENMORE AVE,23404.05,Sidewalk Repair
46,2025,Sidewalk Menu,4135-4149 N CLARENDON AVE,67257.9,Sidewalk Repair
46,2025,Sidewalk Menu,4136 N SHERIDAN RD,11524.64,Sidewalk Repair
46,2025,Sidewalk Menu,4142 N BROADWAY,5877.72,Sidewalk Repair
46,2025,Sidewalk Menu,4155 N CLARK ST,25599.01,Sidewalk Repair
46,2025,Sidewalk Menu,4247 N HAZEL ST,5129.8,Sidewalk Repair
46,2025,Sidewalk Menu,4407 N MALDEN ST,13871.96,Sidewalk Repair
46,2025,Sidewalk Menu,4419 N RACINE AVE,9889.75,Sidewalk Repair
46,2025,Sidewalk Menu,4440-4442 N HAZEL ST,1975.28,Sidewalk Repair
46,2025,Sidewalk Menu,4450-4454 N MALDEN ST,30160.23,Sidewalk Repair
46,2025,Sidewalk Menu,4520 N BEACON ST,14451.34,Sidewalk Repair
46,2025,Sidewalk Menu,4526-4528 N MAGNOLIA AVE,9759.96,Sidewalk Repair
46,2025,Sidewalk Menu,4555 N MALDEN ST,43664.2,Sidewalk Repair
46,2025,Sidewalk Menu,4638 N MALDEN ST,15333.79,Sidewalk Repair
