,ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2
19643,14,Street Speed Hump Menu,W 44 ST-- S KILDARE AV (4304 W) -to- Dead End (4417 W) 3,2008,5250.0,11305,W 44th ST AND S KILDARE AV,W 44th ST AND Dead End,41.8131467,-87.7312529,google,,,google
19728,4,Sidewalk Menu,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),2012,71664.0,3234,W 46TH ST and S GREENWOOD AV,W 46TH ST and S WOODLAWN AV,,,google,41.7587969,-87.5958227,google
19792,14,Sidewalk Menu,W 50 PL-- S RIDGEWAY AV (3732 W) -to- Dead End (3766 W),2008,4848.0,11282,W 50th PL AND S RIDGEWAY AV,W 50th PL AND Dead End,41.8014817,-87.7172419,google,,,google
19833,3,Sidewalk Menu,W 51 PL-- S PRINCETON AV (300 W) -to- Dead End (316 W),2007,41050.0,2426,W 51st PL AND S PRINCETON AV,W 51st PL AND Dead End,41.8009154,-87.633164,google,,,google
19834,3,Street Resurface Menu,W 51 PL-- S PRINCETON AV (300 W) -to- Dead End (316 W),2007,24394.0,2427,W 51st PL AND S PRINCETON AV,W 51st PL AND Dead End,41.8009154,-87.633164,google,,,google
19841,16,Sidewalk Menu,W 51 ST-- S HOYNE AV (2100 W) -to- Dead End (2127 W),2010,1466.0,13297,W 51st ST AND S HOYNE AV,W 51st ST AND Dead End,41.8012017,-87.676942,google,,,google
19858,16,Street Resurface Menu,W 52 PL-- S DAMEN AV (2000 W) -to- Dead End (2125 W),2006,41689.0,13080,W 52nd PL AND S DAMEN AV,W 52nd PL AND Dead End,41.798027,-87.674424,google,,,google
19908,23,Sidewalk Menu,W 52 ST-- S NORMANDY AV (6700 W) -to- STOMA AV (6632 W),2007,26468.0,18127,W 52nd ST AND S NORMANDY AV,W 52nd ST AND STOMA AV,41.7977451,-87.7892741,google,,,google
19911,14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,15780.0,11653,W 53RD PL and S SACRAMENTO AV,W 53RD PL and AV TO S ALBANY AV,41.7963308,-87.6987422,google,,,google
19912,14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AVE (3000 W) TO S ALBANY AVE (3100 W),2017,26067.9,12009,W 53RD PL and S SACRAMENTO AVE,W 53RD PL and AVE TO S ALBANY AVE,41.7963308,-87.6987422,google,,,google
19936,14,Sidewalk Menu,ON W 53RD ST FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,10175.0,11663,W 53RD ST and S SACRAMENTO AV,W 53RD ST and AV TO S ALBANY AV,41.7963308,-87.6987422,google,,,google
19937,14,Street Resurfacing Menu (1-5),ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S CALIFORNIA AVE (2800 W),2017,120627.59,12024,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE TO S CALIFORNIA AVE,41.7972538,-87.6987754,google,,,google
19938,14,Street Speed Hump Menu,ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S WHIPPLE ST (3030 W),2017,1850.0,12038,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE TO S WHIPPLE ST,41.7972538,-87.6987754,google,,,google
19962,23,Street Resurface Menu,W 53 ST-- STCHEZ AV (6500 W) -to- S NEENAH AV (6531 W),2010,3477.0,18421,W 53rd ST AND STCHEZ AV,W 53rd ST AND S NEENAH AV,,,google,41.7960006,-87.7855847,google
19968,23,Street Resurface Menu,W 53 ST-- STOMA AV (6632 W) -to- S NORMANDY AV (6700 W),2010,2455.0,18424,W 53rd ST AND STOMA AV,W 53rd ST AND S NORMANDY AV,,,google,41.7959315,-87.78923,google
19985,23,Street Resurface Menu,W 53 ST-- SGLE AV (6432 W) -to- STCHEZ AV (6500 W),2010,5539.0,18420,W 53rd ST AND SGLE AV,W 53rd ST AND STCHEZ AV,41.7960185,-87.7831317,google,,,google
19986,23,Street Resurface Menu,W 53 ST-- SSHVILLE AV (6600 W) -to- STOMA AV (6632 W),2010,5652.0,18423,W 53rd ST AND SSHVILLE AV,W 53rd ST AND STOMA AV,41.7959832,-87.7867969,google,,,google
19990,14,Street Speed Hump Menu,ON W 54TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2017,7400.0,12034,W 54TH PL and S SACRAMENTO AVE,W 54TH PL and AVE TO S KEDZIE AVE,41.7945062,-87.698699,google,,,google
20147,3,Street Speed Hump Menu,W 57 PL-- S NORMAL BV (500 W) -to- Dead End (525 W) 1,2008,1750.0,2498,W 57th PL AND S NORMAL BV,W 57th PL AND Dead End,41.7894486,-87.6377298,google,,,google
20153,14,Street Resurfacing Menu,ON W 57TH ST FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2018,152997.23,12078,W 57TH ST and S SACRAMENTO AVE,W 57TH ST and AVE TO S KEDZIE AVE,41.7899651,-87.6985577,google,,,google
20181,13,Curb/Gutter Menu,W 58 ST-- S KILDARE AV (4300 W) -to- Dead End (4309 W),2009,2429.0,9983,W 58th ST AND S KILDARE AV,W 58th ST AND Dead End,41.7876747,-87.7303526,google,,,google
20221,20,Street Resurface Menu,W 59 PL-- S PRINCETON AV (300 W) -to- Dead End (330 W),2006,25308.0,15953,W 59th PL AND S PRINCETON AV,W 59th PL AND Dead End,41.7872291,-87.6327945,google,,,google
20270,23,Street Resurface Menu,W 60 PL-- Dead End (6884 W) -to- S NEW ENGLAND AV (6920 W),2005,15124.0,18020,W 60th PL AND Dead End,W 60th PL AND S NEW ENGLAND AV,,,google,41.7823763,-87.7942634,google
